PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
KVE0s,5rk1/2Q2p1p/3P2p1/1Np1n1Bq/P2bPP2/2N3K1/1P4P1/R4R2 w - - 5 26,f4e5 h5g5 g3f3 g5e3 f3g4 d4e5 f1f3 f7f5 e4f5 e3h6 a1h1 h6h1 c7h7 h1h7,2963,120,87,392,crushing exposedKing hangingPiece middlegame quietMove veryLong,https://lichess.org/hLG5UYMy#51,
uFpCz,1r4k1/1p1R4/1P6/P3p3/5nK1/3p1P2/8/8 b - - 1 37,e5e4 g4f4 e4f3 f4f3 b8e8 f3f4 e8a8 f4e3 d3d2 e3d2,2961,115,88,225,crushing endgame hangingPiece veryLong,https://lichess.org/rXAt1FQd/black#74,
g9U2q,8/1Pb2k2/p1P3p1/2K5/P3p1b1/8/7p/Q7 w - - 11 58,b7b8q c7b8 a1b1 g4f5,2961,96,88,259,advantage defensiveMove endgame hangingPiece short,https://lichess.org/suKbiHlG#115,
QUlpx,4r3/kp3ppp/1p1q4/pQ1P4/P3rP2/8/5P1P/1R1R2K1 b - - 1 31,e4f4 b5e8 d6g6 g1f1 f4g4 e8b5,2960,119,90,1065,advantage endgame hangingPiece long master,https://lichess.org/e1XkXfPt/black#62,
sSKqF,8/8/6R1/2KP2p1/5nk1/8/8/8 w - - 2 48,d5d6 f4g6 d6d7 g6f8 d7d8n g4f4 c5d4 g5g4 d4d3 g4g3 d3e2 f4g4,2959,105,85,260,crushing defensiveMove endgame hangingPiece quietMove veryLong,https://lichess.org/kfr4rg7q#95,
pUdTU,2rr2k1/1p3p2/1n4p1/p1n1P3/P6q/1Pp1B1PP/1Q3P2/3RR1K1 w - - 0 29,g3h4 c3b2 d1d8 c8d8 e3c5 d8d3 c5b6 d3b3,2956,103,90,2042,advancedPawn crushing hangingPiece middlegame veryLong,https://lichess.org/GHC5bd2c#57,
2oMdM,8/p2Q1rkp/2p3pP/1q6/4nP2/1N2r3/P5P1/R4R1K b - - 0 29,g7h6 d7f7 b5d3 f1e1 e3h3 h1g1,2956,117,90,1309,crushing hangingPiece long middlegame,https://lichess.org/5KpfaOIu/black#58,
HXsXg,r1b2r1k/p1p1b1pp/1p6/2q1Bp1Q/8/2P2N2/PP4PP/4RR1K w - - 2 18,e5g7 h8g7 f3g5 h7h6 g5e6 c8e6 e1e6 e7f6,2956,103,92,2488,crushing hangingPiece middlegame veryLong,https://lichess.org/jLLSAJyF#35,Indian_Defense Indian_Defense_London_System
6UKgC,r1b5/pp2knQ1/1q1bpr2/3p2N1/1P1N3P/P7/6P1/R1B1K2R w KQ - 1 22,g5f7 b6d4 f7e5 e7e8 g7f6 d4e4 e1f2 d6e5 f6g5 e5a1,2955,102,91,2685,advantage exposedKing fork hangingPiece middlegame sacrifice veryLong,https://lichess.org/yLtmCp2B#43,
N5OVp,3nr2k/4r1pp/p2p1p2/1p1B1P1Q/2p2P2/2P3RP/P1q3PK/5R2 w - - 0 29,g3g7 h8g7 f1f3 e7f7 d5f7 d8f7 f3g3 g7f8,2955,114,90,1717,crushing defensiveMove hangingPiece middlegame quietMove veryLong,https://lichess.org/W8uBUMvW#57,
